olumlu isim&sıfat;olumlu fiil;olumsuz isim&sıfat;olumsuz fiil
güzel;kazanmak;çirkin;kaybetmek
iyi;yenmek;kötü;yenilmek
sevimli;sevmek;iğrenç;sevmemek
yakışıklı;ısınmak;pislik;donmak
çalışkan;rahatlamak;tembel;rahatsızlanmak
kaliteli;kalkmak;pahalı;düşmek
ucuz;yaşamak;dandik;ölmek
şahane;konuşmak;zevksiz;ağlamak
mükemmel;büyümek;berbat;solmak
harika;yeşermek;rezil;üzülmek
lezzetli;sevinmek;acı;yorulmak
tatlı;dinlenmek;değersiz;terlemek
şık;çalışmak;zam;üşümek
değerli;iyileşmek;zor;boğulmak
pratik;güçlenmek;karmaşık;batmak
gösterişli;gülmek;rahatsız;çalışmamak
indirim;uyumak;negatif;kırılmak
lüks;başarmak;olumsuz;patlamak
huzur;eğlenmek;kavga;sıkılmak
mutlu;doymak;gürültü;hastalanmak
sevgi;ulaşmak;zararlı;başaramamak
pozitif;erişmek;bozuk;nefret etmek
nefis;gelişmek;zarar;tiksinmek
şirin;yükselmek;yırtık;unutmak
temiz;beğenmek;eski;tartışmak
kolay;hoşlanmak;kırık;sinirlenmek
olumlu ;ilgi çekmek;kaza;küfretmek
zevkli;bilmek;sinir;vurmak
ödül;öğrenmek;solgun;kaçırmak
berrak;yapmak;halsiz;kırmak
saygın;sohbet etmek;harika;dolandırmak
dürüst;gezmek;kirli;korkmak
göz alıcı;çözmek;tiksinç;dışlanmak
ilgi çekici;yakışmak;bencil;reddetmek
neşeli;büyülemek;inatçı;öldürmek
cesur;paylaşmak;kibirli;tükenmek
iyimser;istemek;aç gözlü;bitmek
güvenilir;hissetmek;korkak;uyuyakalmak
konuşkan;hatırlamak;kötümser;üzmek
cana yakın;görmek;sahtekar;saklamak
mütevazi;başlamak;üzgün;delirmek
duygusal;gülümsemek;pişkin;bitirmek
gururlu;varmak;yüzsüz;yakmak
akıllı;özgürleştirmek;kırıcı;yermek
zeki;kurtarmak;çürük;körelmek
başarılı;onaylamak;soğukkanlı;elenmek
sıcakkanlı ;bağışlamak;özensiz;karalamak
nazik;yardımlaşmak;düzensiz;yıkmak
hoş;affetmek;sıkıcı;yozlaşmak
özenli;övmek;basık;aşağılamak
disiplinli;korumak;bayat;küçümsemek
cömert;aklamak;egoist;bozmak
zarif;onarmak;kendini beğenmiş;kovmak
kibar;temizlemek;dağınık;pisletmek
